name,type,notranslate,comment,value,en
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage13,filefiltergrid,fixrows.items,0:,captions.items,1:,caption",vaString,F,,File mask,File mask
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage14,caption",vaString,F,,Syntax definition files,Syntax definition files
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage14,twidgetgrid6,fixrows.items,0:,captions.items,0:,caption",vaString,F,,Syntax definition file,Syntax definition file
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage14,twidgetgrid6,fixrows.items,0:,captions.items,1:,caption",vaString,F,,File mask,File mask
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage14,twidgetgrid6,syntaxdeffile,controller.filterlist.data,0:,0:",vaString,F,,Syntaxdef files,Syntaxdef files
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage19,caption",vaString,F,,Code templates,Code templates
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage19,twidgetgrid5,frame.caption",vaString,F,,"Code template directories, file extension = .mct","Code template directories, file extension = .mct"
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage19,twidgetgrid5,fixrows.items,0:,captions.items,0:,caption",vaString,F,,Directory,Directory
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage19,twidgetgrid5,fixrows.items,0:,captions.items,1:,hint",vaString,F,,Add to object file search path,Add to object file search path
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage19,twidgetgrid5,fixrows.items,0:,captions.items,2:,hint",vaString,F,,Add to library search path,Add to library search path
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage19,twidgetgrid5,fixrows.items,0:,captions.items,3:,hint",vaString,F,,Add to include file search path,Add to include file search path
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage19,twidgetgrid5,fixrows.items,0:,captions.items,4:,hint",vaString,F,,Add to unit file search path,Add to unit file search path
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage19,twidgetgrid5,fixrows.items,0:,captions.items,5:,hint",vaString,F,,Use in Make 4,Use in Make 4
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage19,twidgetgrid5,fixrows.items,0:,captions.items,6:,hint",vaString,F,,Use in Make 3,Use in Make 3
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage19,twidgetgrid5,fixrows.items,0:,captions.items,7:,hint",vaString,F,,Use in Make 2,Use in Make 2
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage19,twidgetgrid5,fixrows.items,0:,captions.items,8:,hint",vaString,F,,Use in Make 1,Use in Make 1
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage19,twidgetgrid5,fixrows.items,0:,captions.items,9:,hint",vaString,F,,Use in Build,Use in Build
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage19,twidgetgrid5,fixrows.items,0:,captions.items,10:,hint",vaString,F,,Use in Make,Use in Make
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,ttabwidget2,ttabpage19,twidgetgrid5,codetemplatedirs,controller.captionopen",vaString,F,,Select unit directory,Select unit directory
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,dispgrid,frame.caption",vaString,F,,Test,Test
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter12,editfontextraspace,frame.caption",vaString,F,,ExtSp,ExtSp
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter12,editfontextraspace,hint",vaString,F,,Extra space between lines,Extra space between lines
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter12,editfontwidth,frame.caption",vaString,F,,Width,Width
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter12,editfontheight,frame.caption",vaString,F,,Height,Height
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter12,editfontname,frame.caption",vaString,F,,Font,Font
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter12,editfontcolor,frame.caption",vaString,F,,Color,Color
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter12,editbkcolor,frame.caption",vaString,F,,Bk. Color,Bk. Color
